"","Player","Pos","Ht","Wt","Forty","Vertical","BenchReps","BroadJump","Cone","Shuttle","AV","Round","Forty_Imputed","Vertical_Imputed","BenchReps_Imputed","BroadJump_Imputed","Cone_Imputed","Shuttle_Imputed"
"158","Kyle Fuller-02","C",77,307,5.24,26,23,96,7.71,4.84,1,7,5.24,26,23,96,7.71,4.84
"159","Tyler Orlosky","C",75,298,NA,NA,24,NA,NA,NA,0,8,5.24,27.5,24,101,7.68,4.63
"160","Ethan Pocic","C",78,310,5.15,27,26,107,7.89,4.81,5,2,5.15,27,26,107,7.89,4.81
"161","Chase Roullier","C",76,312,5.54,26.5,19,97,7.6,4.47,4,6,5.54,26.5,19,97,7.6,4.47
"162","Jon Toth","C",77,307,5.51,25.5,21,100,8.09,4.84,0,8,5.51,25.5,21,100,8.09,4.84
"163","Rashard Anderson","CB",74,206,4.55,34,NA,123,7.18,4.15,6,1,4.55,34,15,123,7.18,4.15
"164","Reggie Austin","CB",69,175,4.44,35,17,119,7.03,4.14,3,4,4.44,35,17,119,7.03,4.14
"165","David Barrett","CB",70,199,4.44,37.5,16,116,6.81,4.04,10,4,4.44,37.5,16,116,6.81,4.04
"166","William Bartee","CB",73,192,4.43,38.5,NA,124,6.7,3.99,9,2,4.43,38.5,15,124,6.7,3.99
"167","Robert Bean","CB",71,178,4.5,34.5,NA,122,6.87,4.2,5,5,4.5,34.5,15,122,6.87,4.2
"168","Ralph Brown","CB",70,185,4.55,NA,10,NA,NA,NA,4,5,4.55,36,10,121,6.94,4.16
"169","David Byrd","CB",71,202,4.53,36,14,117,7.18,4.39,0,8,4.53,36,14,117,7.18,4.39
"170","Ike Charlton","CB",71,205,4.47,NA,16,126,NA,NA,4,2,4.47,36,16,126,6.94,4.16
"171","Renard Cox","CB",71,192,4.68,38,13,111,7.1,NA,0,8,4.68,38,13,111,7.1,4.16
"172","Sedrick Curry","CB",73,197,4.44,39,NA,125,6.34,3.94,0,8,4.44,39,15,125,6.34,3.94
"173","Mario Edwards","CB",72,191,4.46,NA,NA,120,NA,NA,15,6,4.46,36,15,120,6.94,4.16
"174","Dwayne Goodrich","CB",71,195,4.45,NA,NA,NA,NA,NA,1,2,4.45,36,15,121,6.94,4.16
"175","Lamar Grant","CB",71,188,4.62,32,16,117,7.3,4.3,0,8,4.62,32,16,117,7.3,4.3
"176","Brian Gray","CB",73,214,4.94,33.5,19,116,7.38,4.24,0,8,4.94,33.5,19,116,7.38,4.24
"177","Jeff Harris","CB",72,190,4.53,34.5,NA,114,6.73,4.25,0,8,4.53,34.5,15,114,6.73,4.25
"178","Antwan Harris","CB",69,186,4.34,39,16,121,6.75,4.01,4,6,4.34,39,16,121,6.75,4.01
"179","Lloyd Harrison","CB",70,190,4.5,37.5,16,119,7.12,4.25,1,3,4.5,37.5,16,119,7.12,4.25
"180","Reggie Howard","CB",71,190,4.55,NA,NA,NA,NA,NA,9,8,4.55,36,15,121,6.94,4.16
"181","Ethan Howell","CB",71,186,4.56,NA,16,NA,6.98,4.13,0,8,4.56,36,16,121,6.98,4.13
"182","Ben Kelly","CB",69,183,4.53,36,17,116,6.63,3.95,0,3,4.53,36,17,116,6.63,3.95
"183","Kareem Larrimore","CB",71,190,4.42,34,NA,125,NA,NA,3,4,4.42,34,15,125,6.94,4.16
"184","David Macklin","CB",69,194,4.54,37.5,NA,120,6.9,4.09,13,3,4.54,37.5,15,120,6.9,4.09
"185","Anthony Malbrough","CB",69,184,4.44,35.5,20,117,6.73,4,1,5,4.44,35.5,20,117,6.73,4
"186","Deltha O'Neal","CB",71,193,4.6,NA,NA,NA,NA,NA,21,1,4.6,36,15,121,6.94,4.16
"187","Ahmed Plummer","CB",71,191,4.43,NA,NA,NA,NA,NA,16,1,4.43,36,15,121,6.94,4.16
"188","Hank Poteat","CB",70,197,4.57,37,16,126,6.66,4,5,3,4.57,37,16,126,6.66,4
"189","Mark Roman","CB",71,188,4.55,NA,NA,NA,NA,NA,7,2,4.55,36,15,121,6.94,4.16
"190","Lewis Sanders","CB",72,202,4.5,37,10,116,NA,NA,5,4,4.5,37,10,116,6.94,4.16
"191","Tony Scott","CB",70,193,4.5,34,11,116,7.45,4.24,2,6,4.5,34,11,116,7.45,4.24
"192","Jacoby Shepherd","CB",73,195,4.53,35,5,120,NA,NA,1,2,4.53,35,5,120,6.94,4.16
"193","Darrick Vaughn","CB",71,196,4.53,36.5,14,121,7.09,4.16,10,7,4.53,36.5,14,121,7.09,4.16
"194","Jason Webster","CB",69,180,4.42,35.5,17,122,6.76,3.98,15,2,4.42,35.5,17,122,6.76,3.98
"195","Damen Wheeler","CB",69,179,4.51,35,11,115,7.21,4.27,0,6,4.51,35,11,115,7.21,4.27
"196","Jerard White","CB",73,213,4.61,38.5,14,118,6.96,4.53,0,8,4.61,38.5,14,118,6.96,4.53
"197","Will Allen-01","CB",70,192,4.44,39.5,14,121,6.78,3.9,18,1,4.44,39.5,14,121,6.78,3.9
"198","Gary Baxter","CB",74,204,4.53,37.5,NA,122,7.39,4.21,12,2,4.53,37.5,15,122,7.39,4.21
"199","Harold Blackmon","CB",71,210,4.54,37,17,121,7.03,4.28,1,7,4.54,37,17,121,7.03,4.28
"200","Fred Booker","CB",69,193,4.65,NA,NA,NA,NA,NA,1,8,4.65,36,15,121,6.94,4.16
"201","Kenny Bryant","CB",71,190,4.65,37.5,10,117,7.5,4.15,0,8,4.65,37.5,10,117,7.5,4.15
"202","Jerametrius Butler","CB",70,173,4.57,36,11,121,7.22,4.4,9,5,4.57,36,11,121,7.22,4.4
"203","Nate Clements","CB",71,209,4.38,NA,NA,NA,NA,NA,21,1,4.38,36,15,121,6.94,4.16
"204","Tay Cody","CB",69,181,4.55,NA,11,NA,NA,NA,4,3,4.55,36,11,121,6.94,4.16
"205","Rodney Crayton","CB",68,178,4.6,35.5,13,118,7.25,4.4,0,8,4.6,35.5,13,118,7.25,4.4
"206","Patrick Dyson","CB",71,192,4.55,31.5,NA,114,NA,NA,0,8,4.55,31.5,15,114,6.94,4.16
"207","Andre Dyson","CB",70,179,4.4,NA,NA,119,NA,NA,19,2,4.4,36,15,119,6.94,4.16
"208","Nijrell Eason","CB",73,201,4.59,34.5,19,119,NA,NA,0,8,4.59,34.5,19,119,6.94,4.16
"209","Jamar Fletcher","CB",69,180,4.48,NA,NA,NA,NA,NA,4,1,4.48,36,15,121,6.94,4.16
"210","Kenneth Grant","CB",70,204,4.53,39,NA,115,7.15,4.34,0,8,4.53,39,15,115,7.15,4.34
"211","Jamie Henderson","CB",73,202,4.48,40.5,10,125,6.9,4.12,3,4,4.48,40.5,10,125,6.9,4.12
"212","Anthony Henry","CB",73,198,4.6,41,15,126,6.9,4.2,15,4,4.6,41,15,126,6.9,4.2
"213","Renaldo Hill","CB",71,178,4.68,35.5,10,116,7.07,4.18,10,7,4.68,35.5,10,116,7.07,4.18
"214","Rashad Holman","CB",71,186,4.58,42,6,129,7.09,3.85,4,6,4.58,42,6,129,7.09,3.85
