"","Player","Pos","Ht","Wt","Forty","Vertical","BenchReps","BroadJump","Cone","Shuttle","AV","Round","Forty_Imputed","Vertical_Imputed","BenchReps_Imputed","BroadJump_Imputed","Cone_Imputed","Shuttle_Imputed"
"1663","Mondriel Fulcher","FB",75,253,4.85,27,18,116,7.46,4.52,0,7,5.34,23.5,33,104,7.7,5.13
"1664","Mike Green-02","FB",72,253,4.78,28.5,25,108,7.08,4.34,2,7,5.18,29.5,27,105,7.7,4.64
"1665","D'Andre Hardeman","FB",70,238,4.81,30,NA,109,7.27,4.36,0,8,4.99,28,23,104,7.88,4.81
"1666","Matt Keller","FB",71,235,4.74,NA,NA,NA,NA,NA,0,8,4.85,27,18,116,7.46,4.52
"1667","Dan Kendra","FB",72,251,4.84,35,24,119,NA,NA,0,8,4.78,28.5,25,108,7.08,4.34
"1668","Sammy Morris","FB",72,221,4.65,37.5,23,117,7.05,4.21,5,5,4.81,30,23,109,7.27,4.36
"1669","Aaron Shea","FB",76,253,4.81,37.5,NA,114,6.72,4.3,3,4,4.74,32.5,23,113,7.27,4.37
"1670","Paul Smith-01","FB",71,220,4.65,NA,25,NA,NA,NA,2,5,4.84,35,24,119,7.27,4.37
"1671","Terrelle Smith","FB",72,249,5,32.5,19,109,8.38,4.85,1,4,4.65,37.5,23,117,7.05,4.21
"1672","Darvell Bivens","FB",70,255,4.97,33.5,32,108,7.81,4.38,0,8,4.81,37.5,23,114,6.72,4.3
"1673","Jameel Cook","FB",70,226,4.8,29.5,17,108,7.55,4.38,2,6,4.65,32.5,25,113,7.27,4.37
"1674","Heath Evans","FB",72,246,4.56,34.5,30,111,7.3,4.24,2,3,5,32.5,19,109,8.38,4.85
"1675","George Layne","FB",71,242,4.59,32,NA,115,7.08,4.19,0,4,4.97,33.5,32,108,7.81,4.38
"1676","Dustin McClintock","FB",73,259,5.31,30,7,105,8.1,4.58,0,8,4.8,29.5,17,108,7.55,4.38
"1677","Moran Norris","FB",73,250,4.63,31,37,114,7.56,4.5,0,4,4.56,34.5,30,111,7.3,4.24
"1678","Ja'Mar Toombs","FB",72,281,4.72,NA,17,NA,NA,NA,0,8,4.59,32,23,115,7.08,4.19
"1679","Jeremy Allen","FB",72,241,4.59,38,17,126,7.06,4.49,0,8,5.31,30,7,105,8.1,4.58
"1680","Will Bartholomew","FB",72,246,4.68,38,35,119,6.85,4.09,0,8,4.63,31,37,114,7.56,4.5
"1681","Jarrod Baxter","FB",73,245,4.7,32.5,23,116,7.1,4.27,0,5,4.72,32.5,17,113,7.27,4.37
"1682","Najeh Davenport","FB",73,248,4.57,NA,NA,NA,NA,NA,9,4,4.59,38,17,126,7.06,4.49
"1683","Kori Dickerson","FB",76,240,4.75,34,22,116,7.34,4.51,0,8,4.68,38,35,119,6.85,4.09
"1684","Omar Easy","FB",73,244,4.53,40,21,123,7.25,4.12,0,4,4.7,32.5,23,116,7.1,4.27
"1685","Paris Gaines","FB",72,228,4.67,NA,14,NA,NA,NA,0,8,4.57,32.5,23,113,7.27,4.37
"1686","Joe Hall","FB",74,271,4.97,28,22,107,NA,NA,0,8,4.75,34,22,116,7.34,4.51
"1687","Verron Haynes","FB",70,224,4.78,31.5,25,117,7.27,4.08,4,5,4.53,40,21,123,7.25,4.12
"1688","Kyle Johnson","FB",73,242,4.74,34,22,119,7.4,4.35,4,5,4.67,32.5,14,113,7.27,4.37
"1689","Jamar Martin","FB",71,245,4.89,32,23,108,7.53,4.34,0,4,4.97,28,22,107,7.27,4.37
"1690","Charles Stackhouse","FB",74,252,4.93,29,20,111,7.63,4.53,1,8,4.78,31.5,25,117,7.27,4.08
"1691","Chris Davis-01","FB",71,235,4.56,38.5,21,116,7.25,4.37,0,5,4.74,34,22,119,7.4,4.35
"1692","Brandon Drumm","FB",73,233,4.71,32.5,21,113,7.18,4.29,0,7,4.89,32,23,108,7.53,4.34
"1693","Justin Griffith","FB",71,232,4.59,32,29,113,7.73,4.68,7,4,4.93,29,20,111,7.63,4.53
"1694","Jeremi Johnson","FB",71,260,4.9,29,20,103,NA,NA,3,4,4.56,38.5,21,116,7.25,4.37
"1695","Tom Lopienski","FB",72,246,4.75,34,24,111,7.53,4.24,0,8,4.71,32.5,21,113,7.18,4.29
"1696","Casey Moore","FB",74,240,4.65,32.5,22,114,7.29,4.26,0,7,4.59,32,29,113,7.73,4.68
"1697","Ovie Mughelli","FB",73,255,4.73,31.5,NA,114,7.78,4.32,0,4,4.9,29,20,103,7.27,4.37
"1698","Andrew Pinnock","FB",70,265,4.62,NA,22,NA,NA,NA,1,7,4.75,34,24,111,7.53,4.24
"1699","Troy Fleming","FB",72,230,4.62,32,NA,120,6.94,3.91,3,6,4.65,32.5,22,114,7.29,4.26
"1700","Mike Karney","FB",71,254,5.02,30,25,103,NA,NA,1,5,4.73,31.5,23,114,7.78,4.32
"1701","Lousaka Polite","FB",72,246,4.68,32,28,117,7.45,4.18,1,8,4.62,32.5,22,113,7.27,4.37
"1702","Thomas Tapeh","FB",73,245,4.8,32.5,23,114,7.65,4.52,2,5,4.62,32,23,120,6.94,3.91
"1703","Alex Wade","FB",72,248,4.97,32.5,22,114,7.5,4.41,0,8,5.02,30,25,103,7.27,4.37
"1704","Travis Wilson-01","FB",75,256,4.89,33,25,109,7.56,4.36,0,8,4.68,32,28,117,7.45,4.18
"1705","Kevin Dudley","FB",72,238,4.91,30,19,109,7.25,4.56,0,8,4.8,32.5,23,114,7.65,4.52
"1706","Justin Green","FB",71,251,4.84,31,23,109,7.24,4.21,0,5,4.97,32.5,22,114,7.5,4.41
"1707","Madison Hedgecock","FB",75,266,4.87,32.5,29,108,7.41,4.24,1,7,4.89,33,25,109,7.56,4.36
"1708","Keith Joseph","FB",74,254,4.68,33,27,113,7.43,4.2,0,8,4.91,30,19,109,7.25,4.56
"1709","Will Matthews","FB",73,248,4.98,NA,NA,NA,NA,NA,0,8,4.84,31,23,109,7.24,4.21
"1710","Zach Tuiasosopo","FB",74,249,5,25.5,19,100,7.57,4.67,0,8,4.87,32.5,29,108,7.41,4.24
"1711","Manuel White","FB",74,244,4.64,NA,NA,NA,NA,NA,0,4,4.68,33,27,113,7.43,4.2
"1712","Matt Bernstein","FB",72,260,4.91,29.5,22,110,7.46,4.5,0,8,4.98,32.5,23,113,7.27,4.37
"1713","Gilbert Harris","FB",74,235,4.73,36,20,117,7,4.38,0,8,5,25.5,19,100,7.57,4.67
"1714","David Kirtman","FB",71,233,4.76,29.5,NA,106,7.18,4.31,0,5,4.64,32.5,23,113,7.27,4.37
"1715","Garrett Mills","FB",73,241,4.64,35.5,23,111,6.81,4.05,1,4,4.91,29.5,22,110,7.46,4.5
"1716","Naufahu Tahi","FB",72,254,4.85,29,35,101,7.72,4.7,1,8,4.73,36,20,117,7,4.38
"1717","Lawrence Vickers","FB",72,245,4.82,30.5,21,104,7.74,4.63,2,6,4.76,29.5,23,106,7.18,4.31
"1718","Deon Anderson","FB",71,243,4.73,33,23,114,7.27,4.43,1,6,4.64,35.5,23,111,6.81,4.05
"1719","Cory Anderson","FB",74,247,4.7,37,19,115,7.37,4.35,0,8,4.85,29,35,101,7.72,4.7
"1720","LeRon McClain","FB",72,256,4.75,29.5,14,113,7.14,4.47,10,4,4.82,30.5,21,104,7.74,4.63
"1721","Gijon Robinson","FB",73,255,4.71,33,21,116,7.23,4.43,3,8,4.73,33,23,114,7.27,4.43
"1722","Derek Schouman","FB",74,247,4.74,37.5,27,122,7,4.27,2,7,4.7,37,19,115,7.37,4.35
"1723","Jason Snelling","FB",71,230,4.79,30,NA,111,7.06,4.37,8,7,4.75,29.5,14,113,7.14,4.47
"1724","Jehuu Caulcrick","FB",72,254,4.69,33,16,109,7.4,4.72,0,8,4.71,33,21,116,7.23,4.43
"1725","Jerome Felton","FB",72,241,4.68,32.5,30,110,7.2,4.46,2,5,4.74,37.5,27,122,7,4.27
"1726","Jacob Hester","FB",71,226,4.61,27.5,23,111,6.85,4.24,5,3,4.79,30,23,111,7.06,4.37
"1727","Lex Hilliard","FB",71,231,4.68,32,NA,122,7.01,4.2,3,6,4.69,33,16,109,7.4,4.72
"1728","Peyton Hillis","FB",73,240,4.64,30.5,26,117,7.15,NA,14,7,4.68,32.5,30,110,7.2,4.46
"1729","Owen Schmitt","FB",74,247,4.73,NA,26,NA,NA,NA,1,5,4.61,27.5,23,111,6.85,4.24
"1730","Carl Stewart","FB",73,230,4.66,39,30,134,7.12,4.5,0,8,4.68,32,23,122,7.01,4.2
"1731","Marquez Branson","FB",74,247,4.55,35,22,109,NA,NA,0,8,4.64,30.5,26,117,7.15,4.37
"1732","James Casey","FB",75,246,4.69,36,28,111,7,4.48,4,5,4.73,32.5,26,113,7.27,4.37
"1733","Jason Cook","FB",71,244,4.71,NA,21,NA,NA,NA,0,8,4.66,39,30,134,7.12,4.5
"1734","Tony Fiammetta","FB",72,245,4.58,34,30,112,7.31,4.49,0,4,4.55,35,22,109,7.27,4.37
"1735","Quinn Johnson","FB",73,246,4.72,32,16,115,NA,NA,0,5,4.69,36,28,111,7,4.48
"1736","David Johnson-01","FB",73,260,4.73,32.5,21,113,7.28,4.43,1,7,4.71,32.5,21,113,7.27,4.37
"1737","Marcus Mailei","FB",72,248,4.87,35,22,113,7.36,4.33,0,8,4.58,34,30,112,7.31,4.49
"1738","Rob Myers","FB",75,243,4.58,NA,NA,NA,NA,NA,0,8,4.72,32,16,115,7.27,4.37
"1739","Brannan Southerland","FB",72,242,4.69,38,28,120,7.4,4.4,0,8,4.73,32.5,21,113,7.28,4.43
"1740","Eddie Williams","FB",73,239,4.79,NA,23,NA,NA,NA,0,7,4.87,35,22,113,7.36,4.33
"1741","John Conner","FB",71,246,4.64,35,24,111,7.15,4.32,0,5,4.58,32.5,23,113,7.27,4.37
"1742","Riar Geer","FB",75,256,5,33,13,106,7.13,4.29,0,8,4.69,38,28,120,7.4,4.4
"1743","Clay Harbor","FB",75,252,4.62,40,30,120,NA,4.37,3,4,4.79,32.5,23,113,7.27,4.37
"1744","Rashawn Jackson","FB",73,239,4.75,34.5,NA,117,NA,NA,0,8,4.64,35,24,111,7.15,4.32
"1745","Manase Tonga","FB",71,245,4.84,32,19,105,7.44,4.69,0,8,5,33,13,106,7.13,4.29
"1746","Shaun Chapas","FB",74,247,4.87,35.5,23,116,7.13,4.4,0,7,4.62,40,30,120,7.27,4.37
"1747","Charles Clay","FB",75,245,4.69,33.5,18,118,7.07,4.15,9,6,4.75,34.5,23,117,7.27,4.37
"1748","Stanley Havili","FB",72,227,4.64,NA,NA,NA,NA,NA,1,7,4.84,32,19,105,7.44,4.69
"1749","Henry Hynoski","FB",72,257,5.06,30.5,24,111,NA,NA,2,8,4.87,35.5,23,116,7.13,4.4
"1750","Owen Marecic","FB",72,248,4.87,28.5,22,102,7.1,4.56,0,4,4.69,33.5,18,118,7.07,4.15
"1751","Allen Reisner","FB",74,248,4.9,28,14,108,7.31,4.59,0,8,4.64,32.5,23,113,7.27,4.37
"1752","Anthony Sherman","FB",70,242,4.74,32.5,32,111,7.23,4.41,3,5,5.06,30.5,24,111,7.27,4.37
"1753","Drake Dunsmore","FB",74,241,4.63,35.5,21,117,6.73,4.03,0,7,4.87,28.5,22,102,7.1,4.56
"1754","Bradie Ewing","FB",72,239,4.73,36.5,14,120,7.14,4.16,0,5,4.9,28,14,108,7.31,4.59
"1755","Emil Igwenagu","FB",73,249,4.7,34.5,19,121,7.32,4.4,0,8,4.74,32.5,32,111,7.23,4.41
"1756","Evan Rodriguez","FB",73,239,4.53,36,18,119,6.94,4.28,0,4,4.63,35.5,21,117,6.73,4.03
"1757","Tommy Bohanon","FB",73,246,4.88,35,36,119,7.27,4.42,1,7,4.73,36.5,14,120,7.14,4.16
"1758","Zach Boren","FB",71,238,5,32,25,109,7.28,4.44,0,8,4.7,34.5,19,121,7.32,4.4
"1759","Zach Line","FB",72,232,4.77,30.5,26,111,NA,NA,1,8,4.53,36,18,119,6.94,4.28
"1760","Lonnie Pryor","FB",71,227,4.7,30,17,114,7.28,4.55,0,8,4.88,35,36,119,7.27,4.42
"1761","Braden Wilson","FB",75,251,4.81,NA,22,NA,NA,NA,0,6,5,32,25,109,7.28,4.44
"1762","J.C. Copeland","FB",71,271,4.95,28.5,23,111,7.68,4.58,0,8,4.77,30.5,26,111,7.27,4.37
"1763","Ryan Hewitt","FB",76,246,4.87,33,NA,109,7.04,4.35,2,8,4.7,30,17,114,7.28,4.55
"1764","Reggie Jordan","FB",75,240,4.77,30,24,116,7.22,4.3,0,8,4.81,32.5,22,113,7.27,4.37
"1765","Trey Millard","FB",74,247,4.64,NA,NA,NA,NA,NA,0,7,4.95,28.5,23,111,7.68,4.58
"1766","Michael Burton","FB",71,242,4.65,33,25,115,7.2,4.34,0,5,4.87,33,23,109,7.04,4.35
"1767","Jalston Fowler","FB",71,254,4.94,33.5,23,114,7.56,4.4,0,4,4.77,30,24,116,7.22,4.3
"1768","Joey Iosefa","FB",72,247,5.02,31.5,30,110,7.24,4.33,0,7,4.64,32.5,23,113,7.27,4.37
"1769","Tyler Varga","FB",71,222,4.69,NA,23,NA,NA,NA,0,8,4.65,33,25,115,7.2,4.34
"1770","Zach Zenner","FB",71,223,4.6,41,25,121,7.08,4.14,0,8,4.94,33.5,23,114,7.56,4.4
"1771","Glenn Gronkowski","FB",74,239,4.71,33,17,120,7.1,4.45,0,8,5.02,31.5,30,110,7.24,4.33
"1772","Quayvon Hicks","FB",73,259,4.82,NA,NA,NA,NA,NA,0,8,4.69,32.5,23,113,7.27,4.37
"1773","Andy Janovich","FB",73,238,4.81,34,30,119,7.28,4.32,1,6,4.6,41,25,121,7.08,4.14
"1774","Soma Vainuku","FB",71,246,4.68,32,26,108,NA,NA,0,8,4.71,33,17,120,7.1,4.45
"1775","Dan Vitale","FB",73,239,4.6,38.5,30,123,7.12,4.12,0,6,4.82,32.5,23,113,7.27,4.37
"1776","Sam Rogers","FB",70,231,4.93,32,19,114,7.27,4.34,0,6,4.81,34,30,119,7.28,4.32
"1777","Freddie Stevenson","FB",72,234,4.75,28,24,111,7.65,4.45,0,8,4.68,32,26,108,7.27,4.37
"1778","Rashidi Barnes","FS",72,208,4.62,35,10,114,6.92,4.32,1,7,4.6,38.5,30,123,7.12,4.12
"1779","Rogers Beckett","FS",73,207,4.62,39.5,15,119,6.48,4.29,12,2,4.93,32,19,114,7.27,4.34
"1780","Gary Berry","FS",71,204,4.55,NA,NA,NA,NA,NA,0,4,4.75,28,24,111,7.65,4.45
"1781","Pedro Cirino","FS",71,197,4.59,NA,NA,NA,NA,NA,0,8,4.62,35,10,114,6.92,4.32
"1782","Todd Franz","FS",73,199,4.55,NA,14,NA,NA,NA,1,5,4.62,39.5,15,119,6.48,4.29
"1783","Arturo Freeman","FS",72,188,4.5,35.5,14,124,6.91,4.38,9,5,4.55,35.5,16,120,7.04,4.19
"1784","Trent Gamble","FS",69,186,4.56,37,21,124,6.6,3.9,2,8,4.59,35.5,16,120,7.04,4.19
"1785","Mike Green-01","FS",72,189,4.53,38.5,NA,118,NA,4.2,0,8,4.55,35.5,14,120,7.04,4.19
"1786","Brandon Jennings","FS",72,198,4.51,38,16,123,6.91,4.14,1,8,4.5,35.5,14,124,6.91,4.38
"1787","Kenoy Kennedy","FS",73,221,4.71,33.5,8,113,7.08,4.38,12,2,4.56,37,21,124,6.6,3.9
"1788","Sean Key","FS",71,188,4.65,NA,NA,NA,7.12,4.2,0,8,4.53,38.5,16,118,7.04,4.2
"1789","Bobby Myers","FS",73,183,4.56,37.5,NA,123,7.04,4.1,3,4,4.51,38,16,123,6.91,4.14
"1790","Dwyte Smiley","FS",73,198,4.57,35,13,115,7.18,4.29,0,8,4.71,33.5,8,113,7.08,4.38
"1791","Travares Tillman","FS",73,194,4.6,37.5,15,123,6.95,4.29,5,2,4.65,35.5,16,120,7.12,4.2
"1792","Hakim Akbar","FS",72,210,4.55,NA,NA,NA,NA,NA,0,5,4.56,37.5,16,123,7.04,4.1
"1793","Idrees Bashir","FS",74,206,4.56,40,22,126,7.14,4.2,14,2,4.57,35,13,115,7.18,4.29
"1794","Robert Carswell","FS",72,214,4.59,34,21,106,7.14,4.18,1,7,4.6,37.5,15,123,6.95,4.29
"1795","Jason Doering","FS",71,202,4.73,NA,NA,NA,7.07,4.12,5,6,4.55,35.5,16,120,7.04,4.19
"1796","Shawn Forte","FS",73,204,4.54,NA,20,NA,NA,NA,0,8,4.56,40,22,126,7.14,4.2
"1797","Curtis Fuller","FS",70,186,4.45,36,18,114,7.2,4.21,3,4,4.59,34,21,106,7.14,4.18
"1798","Corey Hall","FS",75,198,4.5,36.5,14,127,NA,NA,0,7,4.73,35.5,16,120,7.07,4.12
"1799","John Howell","FS",72,204,4.64,37,14,121,6.87,4.12,4,4,4.54,35.5,20,120,7.04,4.19
"1800","Michael Jameson","FS",71,186,4.5,34.5,9,118,7.13,4.2,3,6,4.45,36,18,114,7.2,4.21
"1801","Carl Nesmith","FS",74,223,4.95,31.5,5,112,NA,NA,0,8,4.5,36.5,14,127,7.04,4.19
"1802","Richard Newsome","FS",71,203,4.59,NA,14,NA,NA,NA,1,8,4.64,37,14,121,6.87,4.12
"1803","Ifeanyi Ohalete","FS",74,221,4.64,NA,16,NA,NA,NA,12,8,4.5,34.5,9,118,7.13,4.2
"1804","Terreal Bierria","FS",75,216,4.61,36,18,130,6.93,4.1,6,4,4.95,31.5,5,112,7.04,4.19
"1805","Sam Brandon","FS",74,199,4.66,36.5,NA,127,NA,NA,8,4,4.59,35.5,14,120,7.04,4.19
"1806","Jack Brewer","FS",72,194,4.59,37,12,122,6.9,4.24,2,8,4.64,35.5,16,120,7.04,4.19
"1807","Kevin Curtis-01","FS",74,212,4.53,37.5,24,124,6.75,3.88,0,4,4.61,36,18,130,6.93,4.1
"1808","Quentin Harris","FS",72,216,4.61,36.5,14,120,7.59,4.34,4,8,4.66,36.5,16,127,7.04,4.19
"1809","Jason Hebert","FS",71,190,4.63,35.5,15,118,7.12,3.88,0,8,4.59,37,12,122,6.9,4.24
"1810","Chris Hope","FS",72,210,4.58,NA,28,113,NA,NA,10,3,4.53,37.5,24,124,6.75,3.88
"1811","Mel Mitchell","FS",73,220,4.55,35,15,128,7,4.15,3,5,4.61,36.5,14,120,7.59,4.34
"1812","Jermaine Phillips","FS",73,214,4.66,31.5,18,115,NA,NA,11,5,4.63,35.5,15,118,7.12,3.88
"1813","Ed Reed","FS",71,201,4.57,NA,NA,NA,NA,NA,33,1,4.58,35.5,28,113,7.04,4.19
"1814","Rick Sherrod","FS",74,192,4.62,37,NA,119,7.09,4.11,0,8,4.55,35,15,128,7,4.15
"1815","Lamont Thompson","FS",73,220,4.59,33.5,12,120,NA,NA,7,2,4.66,31.5,18,115,7.04,4.19
"1816","Tank Williams","FS",74,222,4.46,38.5,19,125,6.78,3.93,16,2,4.57,35.5,16,120,7.04,4.19
"1817","Colin Branch","FS",72,203,4.4,36,22,119,NA,NA,10,4,4.62,37,16,119,7.09,4.11
"1818","Chris Brown-03","FS",72,195,4.59,35.5,15,126,7.05,4.13,0,8,4.59,33.5,12,120,7.04,4.19
"1819","Charles Drake","FS",73,205,4.52,NA,20,NA,NA,NA,0,7,4.46,38.5,19,125,6.78,3.93
"1820","Anthony Floyd","FS",69,202,4.6,33.5,19,117,7.09,4.2,2,8,4.4,36,22,119,7.04,4.19
"1821","Ken Hamlin","FS",74,209,4.61,33,16,117,6.8,3.92,16,2,4.59,35.5,15,126,7.05,4.13
"1822","Terrence Holt","FS",74,208,4.55,34.5,13,122,6.99,4.03,7,5,4.52,35.5,20,120,7.04,4.19
"1823","Todd Johnson","FS",73,206,4.56,33.5,19,117,7.01,4.19,10,4,4.6,33.5,19,117,7.09,4.2
"1824","Rashean Mathis","FS",73,202,4.45,38.5,22,123,7.09,4.17,0,8,4.61,33,16,117,6.8,3.92
"1825","Hanik Milligan","FS",74,201,4.52,36.5,9,130,7.11,4.18,5,6,4.55,34.5,13,122,6.99,4.03
"1826","Donnie Nickey","FS",74,220,4.65,33.5,17,119,7.08,4.16,4,5,4.56,33.5,19,117,7.01,4.19
"1827","Derek Pagel","FS",73,208,4.57,35.5,25,115,6.87,4.08,1,5,4.45,38.5,22,123,7.09,4.17
"1828","Willie Pile","FS",74,206,4.57,38,14,125,6.77,4.21,3,7,4.52,36.5,9,130,7.11,4.18
"1829","Antwoine Sanders","FS",74,202,4.54,37.5,14,128,7.44,4.45,0,7,4.65,33.5,17,119,7.08,4.16
"1830","Will Allen-02","FS",72,202,4.58,NA,NA,NA,NA,NA,10,4,4.57,35.5,25,115,6.87,4.08
"1831","Rashad Baker","FS",70,204,4.5,36,21,117,7.19,4.12,3,8,4.57,38,14,125,6.77,4.21
"1832","Erik Coleman","FS",70,200,4.64,35.5,16,117,7.03,4.14,19,5,4.54,37.5,14,128,7.44,4.45
"1833","Kentrell Curry","FS",73,201,4.6,34.5,17,127,NA,NA,0,8,4.58,35.5,16,120,7.04,4.19
"1834","Daryl Dixon","FS",70,195,4.77,35.5,15,118,NA,NA,0,8,4.5,36,21,117,7.19,4.12
"1835","Deandre' Eiland","FS",71,202,4.53,35,17,113,7.19,4.27,0,8,4.64,35.5,16,117,7.03,4.14
"1836","Brandon Everage","FS",72,194,4.55,NA,NA,NA,NA,NA,0,8,4.6,34.5,17,127,7.04,4.19
"1837","Sean Jones","FS",73,218,4.63,36.5,NA,122,7.19,NA,15,2,4.77,35.5,15,118,7.04,4.19
"1838","Keith Lewis","FS",72,204,4.6,37,11,121,7.28,4.07,6,6,4.53,35,17,113,7.19,4.27
"1839","Etric Pruitt","FS",72,197,4.57,39.5,NA,116,7.15,4,0,6,4.55,35.5,16,120,7.04,4.19
"1840","Dexter Reid","FS",71,203,4.56,NA,NA,NA,NA,NA,4,4,4.63,36.5,16,122,7.19,4.19
"1841","Stuart Schweigert","FS",74,218,4.47,38,18,124,6.68,3.89,11,3,4.6,37,11,121,7.28,4.07
"1842","Jason Shivers","FS",72,201,4.51,36,19,128,NA,NA,0,5,4.57,39.5,16,116,7.15,4
"1843","Sean Taylor","FS",74,230,4.51,NA,NA,NA,NA,NA,24,1,4.56,35.5,16,120,7.04,4.19
"1844","Matt Ware","FS",74,209,4.54,NA,15,NA,NA,NA,3,3,4.47,38,18,124,6.68,3.89
"1845","Rashad Washington","FS",74,223,4.61,34,14,116,7.06,4.02,2,7,4.51,36,19,128,7.04,4.19
"1846","Madieu Williams","FS",72,193,4.48,NA,18,125,NA,NA,13,2,4.51,35.5,16,120,7.04,4.19
"1847","Quintin Williams","FS",71,207,4.6,37,21,122,7.28,4.09,0,8,4.54,35.5,15,120,7.04,4.19
"1848","O.J. Atogwe","FS",71,219,4.52,NA,22,NA,NA,NA,14,3,4.61,34,14,116,7.06,4.02
"1849","Justin Beriault","FS",75,204,4.52,39.5,14,132,6.92,3.8,0,6,4.48,35.5,18,125,7.04,4.19
"1850","Josh Bullocks","FS",72,209,4.46,37.5,NA,118,7.09,4.08,17,2,4.6,37,21,122,7.28,4.09
"1851","James Butler","FS",74,213,4.51,40.5,16,127,7.1,3.98,8,8,4.52,35.5,22,120,7.04,4.19
"1852","Sean Considine","FS",72,212,4.5,37,19,117,7.09,3.92,8,4,4.52,39.5,14,132,6.92,3.8
"1853","Thomas Davis","FS",73,230,4.6,36.5,NA,115,7.09,3.97,17,1,4.46,37.5,16,118,7.09,4.08
"1854","Ben Emanuel","FS",75,213,4.57,NA,21,NA,NA,NA,3,5,4.51,40.5,16,127,7.1,3.98
"1855","Dustin Fox","FS",71,191,4.43,43.5,7,NA,NA,NA,0,3,4.5,37,19,117,7.09,3.92
"1856","Aaron Francisco","FS",74,211,4.74,35,17,113,6.96,4.07,4,8,4.6,36.5,16,115,7.09,3.97
"1857","Vincent Fuller","FS",73,189,4.44,NA,NA,NA,NA,NA,4,4,4.57,35.5,21,120,7.04,4.19
"1858","Jason Harmon","FS",71,209,4.7,37,23,118,7.61,4.1,0,8,4.43,43.5,7,120,7.04,4.19
"1859","Jim Leonhard","FS",68,191,4.63,NA,19,NA,NA,NA,5,8,4.74,35,17,113,6.96,4.07
"1860","Brodney Pool","FS",73,207,4.52,NA,NA,NA,NA,NA,12,2,4.44,35.5,16,120,7.04,4.19
"1861","Kerry Rhodes","FS",74,209,4.56,42,12,123,6.94,4.12,24,4,4.7,37,23,118,7.61,4.1
"1862","Gerald Sensabaugh","FS",72,214,4.44,46,17,133,NA,NA,7,5,4.63,35.5,19,120,7.04,4.19
"1863","Marviel Underwood","FS",70,205,4.45,38,19,118,7.12,4.21,1,4,4.52,35.5,16,120,7.04,4.19
"1864","Jahmile Addae","FS",70,214,4.7,38.5,NA,122,NA,NA,0,8,4.56,42,12,123,6.94,4.12
"1865","Jason Allen","FS",73,209,4.39,39.5,17,131,6.75,3.81,6,1,4.44,46,17,133,7.04,4.19
"1866","Antoine Bethea","FS",71,203,4.39,36.5,19,127,6.99,4.11,20,6,4.45,38,19,118,7.12,4.21
"1867","Greg Blue","FS",74,216,4.57,37.5,16,120,NA,NA,1,5,4.7,38.5,16,122,7.04,4.19
"1868","Darrell Brooks","FS",72,198,4.61,36.5,7,125,6.97,4.36,0,8,4.39,39.5,17,131,6.75,3.81
"1869","Marcus Demps","FS",72,198,4.7,31,17,117,6.91,4.09,0,8,4.39,36.5,19,127,6.99,4.11
"1870","Reed Doughty","FS",72,209,4.65,37,15,121,6.66,4.17,5,6,4.57,37.5,16,120,7.04,4.19
"1871","Cedric Griffin","FS",72,199,4.51,35.5,17,125,6.84,4.1,16,2,4.61,36.5,7,125,6.97,4.36
"1872","Roman Harper","FS",72,198,4.5,NA,19,NA,NA,NA,14,2,4.7,31,17,117,6.91,4.09
"1873","Marcus Hudson","FS",73,194,4.55,NA,11,NA,NA,NA,3,6,4.65,37,15,121,6.66,4.17
"1874","Nate Salley","FS",74,216,4.63,40,14,123,6.79,4.15,2,4,4.51,35.5,17,125,6.84,4.1
"1875","Ko Simpson","FS",73,209,4.45,40.5,11,122,7.09,4.17,11,4,4.5,35.5,19,120,7.04,4.19
"1876","Dwayne Slay","FS",75,216,4.78,32.5,NA,112,NA,NA,0,8,4.55,35.5,11,120,7.04,4.19
"1877","Anthony Smith","FS",72,194,4.71,41,18,125,6.75,4.35,9,3,4.63,40,14,123,6.79,4.15
"1878","Pat Watkins","FS",77,211,4.42,41,14,133,NA,NA,6,5,4.45,40.5,11,122,7.09,4.17
"1879","Gerald Alexander","FS",72,210,4.51,41,15,124,7.24,4.21,10,2,4.78,32.5,16,112,7.04,4.19
"1880","Zach Catanese","FS",74,225,4.6,NA,24,NA,NA,NA,0,8,4.71,41,18,125,6.75,4.35
"1881","C.J. Gaddis","FS",71,203,4.45,36.5,20,121,7.28,4.3,0,5,4.42,41,14,133,7.04,4.19
"1882","Josh Gattis","FS",73,206,4.51,34.5,22,121,6.72,4.27,0,5,4.51,41,15,124,7.24,4.21
"1883","Dashon Goldson","FS",74,205,4.6,34.5,12,115,7.37,4.46,11,4,4.6,35.5,24,120,7.04,4.19
"1884","Tanard Jackson","FS",72,200,4.52,32.5,12,121,6.89,4.28,22,4,4.45,36.5,20,121,7.28,4.3
"1885","LaRon Landry","FS",72,213,4.35,37.5,NA,123,NA,NA,21,1,4.51,34.5,22,121,6.72,4.27
"1886","Brandon Meriweather","FS",71,195,4.47,35,11,111,7.06,4.33,17,1,4.6,34.5,12,115,7.37,4.46
"1887","Chinedum Ndukwe","FS",74,206,4.49,37.5,15,NA,NA,NA,12,7,4.52,32.5,12,121,6.89,4.28
"1888","Reggie Nelson","FS",71,198,4.48,34.5,NA,NA,NA,NA,17,1,4.35,37.5,16,123,7.04,4.19
